Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
medium_multitask_mask_45,phylum,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,phylum,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,phylum,SVM,2,0.1501799526595153,,linear,,,,,,,,
medium_multitask_mask_45,phylum,LGBM,0,,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542
medium_multitask_mask_45,phylum,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
medium_multitask_mask_45,phylum,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
medium_multitask_mask_45,class,SVM,0,0.5301709347576824,,linear,,,,,,,,
medium_multitask_mask_45,class,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,class,SVM,2,0.31103255667795526,,linear,,,,,,,,
medium_multitask_mask_45,class,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
medium_multitask_mask_45,class,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,class,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
medium_multitask_mask_45,order,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,order,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,order,SVM,2,0.31103255667795526,,linear,,,,,,,,
medium_multitask_mask_45,order,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
medium_multitask_mask_45,order,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,order,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
medium_multitask_mask_45,family,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,family,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,family,SVM,2,0.2666119111216874,,linear,,,,,,,,
medium_multitask_mask_45,family,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
medium_multitask_mask_45,family,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,family,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
medium_multitask_mask_45,genus,SVM,0,0.5301709347576824,,linear,,,,,,,,
medium_multitask_mask_45,genus,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,genus,SVM,2,0.2666119111216874,,linear,,,,,,,,
medium_multitask_mask_45,genus,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
medium_multitask_mask_45,genus,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
medium_multitask_mask_45,genus,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
medium_multitask_mask_45,species,SVM,0,22.390342721683695,,linear,,,,,,,,
medium_multitask_mask_45,species,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
medium_multitask_mask_45,species,SVM,2,1.2484030808286068,,linear,,,,,,,,
medium_multitask_mask_45,species,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
medium_multitask_mask_45,species,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,species,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
medium_multitask_mask_45,immunogenicity,SVM,0,0.44103656679709824,,linear,,,,,,,,
medium_multitask_mask_45,immunogenicity,SVM,1,0.015151125123102896,,linear,,,,,,,,
medium_multitask_mask_45,immunogenicity,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
medium_multitask_mask_45,immunogenicity,LGBM,0,,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077
medium_multitask_mask_45,immunogenicity,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
medium_multitask_mask_45,immunogenicity,LGBM,2,,,,0.9069953039201313,0.22428038991112134,12.0,533.0,102.0,0.7807787581942088,0.10610474345425769,0.7526771763362244
medium_multitask_mask_45,link,SVM,0,0.5301709347576824,,linear,,,,,,,,
medium_multitask_mask_45,link,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
