GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G01165XC,Gal(b1-2)[Abe(a1-3)]D-Rha,Linkage-defined saccharide,456.18
G01235IT,Man(a1-2)Man(a1-2)Man(b1-3)GalNAc,Linkage-defined saccharide,707.25
G01277LF,Rha(a1-4)Rha(a1-2)Glc,Linkage-defined saccharide,472.18
G01292AZ,GlcA(b1-3)Gal(a1-3)Man(a1-3)Gal,Linkage-defined saccharide,680.2
G01383BR,Man(a1-4)Man(b1-4)Glc,Linkage-defined saccharide,504.17
G01347XI,Gal(a1-4)Gal(b1-4)GlcNAc,Linkage-defined saccharide,545.2
G01329EH,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1364.5
G01416XU,Glc(a1-3)[Araf(a1-6)]Glc,Linkage-defined saccharide,474.16
G01439RH,Rha(a1-3)Rha(a1-2)[GlcNAc(b1-3)]Rha,Linkage-defined saccharide,659.26
G01447LT,Glc(b1-4)[Araf(a1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc,Linkage-defined saccharide,1092.36
G01471GI,Gal(b1-3)[GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1097.41
G01486VW,Gal(b1-3)[D-Ara(a1-4)]GlcNAc,Linkage-defined saccharide,515.19
G01522AH,Ara(b1-4)Xyl(b1-4)Glc(b1-4)GlcA,Linkage-defined saccharide,620.18
G01526WD,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Glc,Linkage-defined saccharide,1526.55
G01652AU,GlcNAc(b1-2)GalA(b1-3)GalNAc(a1-4)GalA,Linkage-defined saccharide,776.23
G01668SI,Glc(b1-2)Ara(a1-2)GlcA,Linkage-defined saccharide,488.14
G01654ZW,GlcA(b1-4)[Glc(b1-6)]Gal(a1-6)Glc,Linkage-defined saccharide,680.2
G01714FB,Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-3)[Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1688.6
G01716PR,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,Linkage-defined saccharide,1802.64
G01733NS,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)][GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2290.86
G01706RV,Gal(b1-3)[Fuc(a1-4)]GlcNAc,Linkage-defined saccharide,529.2
G01714NT,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc,Linkage-defined saccharide,691.25
G01762QK,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,2898.04
G01772HV,GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2151.78
G01815CK,GlcNAc(b1-2)Man(a1-3)[Gal(b1-3)GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,1756.64
G01824ZO,GalNAc(a1-3)GlcNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc,Linkage-defined saccharide,910.33
G01880LA_1,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1558.54
G01922RI,Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1097.41
G01926EQ,Glc(b1-3)Glc(b1-4)Gal(b1-3)Glc,Linkage-defined saccharide,666.22
G01856WY,Man(a1-3)Man(a1-2)Man(a1-2)[Man(a1-3)Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,2489.83
G01894QP,Glc(a1-4)Glc(b1-4)Glc,Linkage-defined saccharide,504.17
G01860RO,GlcN(b1-4)GlcN(b1-4)GlcNAc,Linkage-defined saccharide,543.23
G01973UB,Abe(a1-2)Gal(b1-3)[Gal(a1-3)GalNAc(b1-6)]GlcNAc,Linkage-defined saccharide,878.34
G02018EI,GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1770.66
G01994DD,Gal(b1-3)Gal(b1-6)Gal,Linkage-defined saccharide,504.17
G01999QR,Gal(b1-4)Gal(b1-6)Glc,Linkage-defined saccharide,504.17
G01999ZH,GlcNAc(b1-6)Man(a1-6)Man(b1-4)GlcNAc,Linkage-defined saccharide,748.27
G02046AU,Man(a1-3)Man(a1-3)Man(a1-3)GlcNAc,Linkage-defined saccharide,707.25
