Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
medium_multitask_mask_15,class,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
medium_multitask_mask_15,order,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,order,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,order,SVM,2,1.2484030808286068,linear,,,,,,,,,
medium_multitask_mask_15,order,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
medium_multitask_mask_15,order,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
medium_multitask_mask_15,order,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
medium_multitask_mask_15,family,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,family,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,family,SVM,2,0.2666119111216874,linear,,,,,,,,,
medium_multitask_mask_15,family,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
medium_multitask_mask_15,family,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
medium_multitask_mask_15,family,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
medium_multitask_mask_15,genus,SVM,0,1.3116515715358075,linear,,,,,,,,,
medium_multitask_mask_15,genus,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,genus,SVM,2,1.2484030808286068,linear,,,,,,,,,
medium_multitask_mask_15,genus,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
medium_multitask_mask_15,genus,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
medium_multitask_mask_15,genus,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
medium_multitask_mask_15,species,SVM,0,1.3116515715358075,linear,,,,,,,,,
medium_multitask_mask_15,species,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,species,SVM,2,1.2484030808286068,linear,,,,,,,,,
medium_multitask_mask_15,species,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
medium_multitask_mask_15,species,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
medium_multitask_mask_15,species,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
medium_multitask_mask_15,immunogenicity,SVM,0,1.3116515715358075,linear,,,,,,,,,
medium_multitask_mask_15,immunogenicity,SVM,1,0.015151125123102896,linear,,,,,,,,,
medium_multitask_mask_15,immunogenicity,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
medium_multitask_mask_15,immunogenicity,LGBM,0,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542,
medium_multitask_mask_15,immunogenicity,LGBM,1,,,0.6109550372791704,0.09780516945944194,12.0,853.0,116.0,2.1635538496132702,1.405761185734689,0.921103001574946,
medium_multitask_mask_15,immunogenicity,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
medium_multitask_mask_15,link,SVM,0,0.5301709347576824,linear,,,,,,,,,
medium_multitask_mask_15,link,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
medium_multitask_mask_15,link,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
medium_multitask_mask_15,link,LGBM,0,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542,
medium_multitask_mask_15,link,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
medium_multitask_mask_15,link,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
large_multitask_mask_15,domain,SVM,0,0.44103656679709824,linear,,,,,,,,,
large_multitask_mask_15,domain,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,domain,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
large_multitask_mask_15,domain,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
large_multitask_mask_15,domain,LGBM,1,,,0.6371203234562951,0.05826049138004879,5.0,416.0,28.0,3.081839932567508,0.06594014877215837,0.6236972805206253,
large_multitask_mask_15,domain,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
large_multitask_mask_15,kingdom,SVM,0,0.44103656679709824,linear,,,,,,,,,
large_multitask_mask_15,kingdom,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,kingdom,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
large_multitask_mask_15,kingdom,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
large_multitask_mask_15,kingdom,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
large_multitask_mask_15,kingdom,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
large_multitask_mask_15,phylum,SVM,0,1.3116515715358075,linear,,,,,,,,,
large_multitask_mask_15,phylum,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,phylum,SVM,2,0.31103255667795526,linear,,,,,,,,,
large_multitask_mask_15,phylum,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
large_multitask_mask_15,phylum,LGBM,1,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803,
large_multitask_mask_15,phylum,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
large_multitask_mask_15,class,SVM,0,0.5301709347576824,linear,,,,,,,,,
large_multitask_mask_15,class,SVM,1,2.2321849928717583,linear,,,,,,,,,
